Unnamed: 0,Datetime,Text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sentiment
0,2020-04-08 18:07:41+00:00,                                                                                                                                                                                                             IncomeTax  TaxRefund  Corona ,,,,,0
1,2020-04-08 18:07:11+00:00,Jennifer Lopez The best way to stop the spread of COVID    is to stay home   and  IStayHomeFor those on the front lines   the doctors  nurses and technicians that are working so hard to keep everyone safe   JenniferLopez  JLo  StayHome  Corona  COVID    StaySafe  COVID,,,,,1
2,2020-04-08 18:06:18+00:00,ip of the day  lockdown  advice As everyone has been advised to  stayhome to  fight ongoing  corona  pandemic   it s important to keep the following tips in mind     keep  active   mindful eating   Maintain good  posture    stretching  exercises  staysafe  Orthopedics,,,,,1
3,2020-04-08 18:06:16+00:00,Corona                                                                                                                                                                                                             FIR  coronaupdatesindia  Corona  JammuAndKashmir  FIR  SoporeEncounter  terrorist,,,,,-1
4,2020-04-08 18:04:18+00:00, Corona Our muslim brothers listen to this Saudi Mufti carefully He is teaching you real islam  broad minded  liberal face of islam He is warning handful of irresponsible muslims of India  Pak  Nigeria to follow social distancing  neither infect yourself nor others  ,,,,,-1
5,2020-04-08 17:59:08+00:00,                                                                                                                                                                                                                                                UttarPradesh  Kannauj  subratpathak  AkhileshYadav  samajwadiparty                                                                                                                                                                                                                                       Corona ,,,,,0
6,2020-04-08 17:57:34+00:00,                                                                                                                                                                                ModiTrump  Hydroxychloroquine  DrishtikoneNews  DrishtikoneTV  CoronaVirus  Corona  CoronaNews  Modi  Trump  TrumpToModi  ModiLeadingTheWorld  TotalLockdown Must Watch ,,,,,0
7,2020-04-08 17:57:04+00:00,    guitar amplifiers   StayHome  COVID  lockdownextension  SingleGuysChallenge  Corona,,,,,0
8,2020-04-08 17:56:03+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                                     corona                                                                                                               shameonkejriwal,,,,,0
9,2020-04-08 17:53:39+00:00,About    crore people in India may sink into poverty amid  corona crisis  UN report  And still we are playing media games for petty political gain  It shows people are never the priority for these politicians  but the power and money  Wake up India  It s not too late ,,,,,-1
10,2020-04-08 17:52:26+00:00,It   s not about actual help  She is the  RonaBrigade she wants more people to die of  Corona is is crying as death toll is less ,,,,,-1
11,2020-04-08 17:51:13+00:00,We are Proud that we are alumni of  AligarhMuslimUniversity  AMU   We all are  CoronaTigerForce to combat and must defeat  corona from  India   We defeated  Alexandra  amp, #mongols in Past and also will overpowered on #corona . ,,,,-1
12,2020-04-08 17:50:35+00:00,                                                                                                                                                                                                          chiragpaswan  NrandraModi  CoronaUpdatesInIndia  CoronaLockdown  Corona ,,,,,0
13,2020-04-08 17:50:27+00:00,          Lockdown                                                                                                                                                                                                                              Corona  COVID    StayHomeSavesLives  ,,,,,0
14,2020-04-08 17:48:42+00:00,My area in  Delhi to be sealed from midnight today                                                                                                              corona            StayHome  COVID  sealed,,,,,0
15,2020-04-08 17:48:32+00:00, Bihar  Number of positive cases of  Coronavirus go up to    with reporting of one more case  New case is from Nawada  He has travel history of Delhi     persons cured so far  One person of Munger died due to  Corona   IndiaFightsCorona  CoronaVirusUpdates,,,,,-1
16,2020-04-08 17:45:00+00:00,Yeh  Corona aapko Aapke Ghar ke har kone se pyaar karwake hi chodegaaa     Mummy      oyeee har kone Mai ache se pochaaa maaar  coronavirus,,,,,-1
17,2020-04-08 17:44:55+00:00,rue  lockdownextension  WednesdayThoughts  COVID  Corona  COVID       ,,,,,0
18,2020-04-08 17:44:53+00:00, lockdownextension  COVID  Corona                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,,,,0
19,2020-04-08 17:38:28+00:00,                                  rd                                                          nd                                                                                                                                                                                                                                                                                                                                COVID  corona,,,,,0
20,2020-04-08 17:38:07+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   corona                                     ,,,,,0
21,2020-04-08 17:37:27+00:00,                                                                                                                                                                                                                                                   Exclusive Interview                             AbToDekhnaHiPadega    Corona    coronavirus    COVID      lockdownextension,,,,,1
22,2020-04-08 17:37:13+00:00,                                                                                                                                                                      quotes  positivity  aakashvshivach  motivationalquotes  inspirationalquotes  yesterday   love  writer  india  hindipoetry  shayari  corona  coronavirus  besafe  wednesday  wednesdayvibes  wednesdaywisdom,,,,,1
23,2020-04-08 17:36:23+00:00,Very disheartening to see crowd coming out in huge numbers      people not taking care of social Distancing    Sir request you to please look in to this  otherwise we might see another  corona  hotspot despite all the effort from the administration   Location is Noida sector    ,,,,,1
