Unnamed: 0,Datetime,Text,Sentiment
0,2020-04-08 18:48:54+00:00,An important message from the New York City Departmental of Health  Stay home and keep your distance   socialdistancing  YMHP  NYCDOH  CAMBA  StayHome  ShelterInPlace  WashHands  WashYourHands    seconds  corona  coronavirus,1
1,2020-04-08 18:46:44+00:00,NY State Office of Mental Health COVID    Emotional Support Hotline  NYSOMH  NYS  NY  CAMBA  YMHP  COVID    corona  Coronavirus,1
2,2020-04-08 18:45:00+00:00, mask  wipes  disposablemask  maskcleaning  corona  protection  epap  healthprotection  covid    mask  handgloves  handsanitizer  Disposable  surgicalmask,0
3,2020-04-08 18:40:32+00:00,LIVE BLOG  New Zealand government announces plans to transform tourism industry  via   coronavirus  coronavirusupdates  covid    corona  newzealand  LOTR,0
4,2020-04-08 18:39:23+00:00, thank you Milwaukee You shouldn   t have to do that in the  USA  As a register  independentvoter  the only right choice is to  VoteByMail and  VoteBlue  CoronaLockdown  corona  Biden      VoteBiden  VoterSuppression  COVID      TrumpGenocide  TrumpVirus  TrumpMadness,1
5,2020-04-08 18:38:02+00:00,I played a  videogame   It   s been well over a year pre   corona   It was nice    CODWarzone is a nicely polished battle royals game  Great job   Wednesday  gaming  QuarentineLife,1
6,2020-04-08 18:34:04+00:00,his is how we celebrated my son   s birthday  It was a corona virus gathering    quarantine  corona  virus  socialdistancing  happybirthday  love  family  comedy  stayhome  uuD DBHFE  igshid  vqcywiqh o k,1
7,2020-04-08 18:30:00+00:00, facemask  maskbandana  womenmask  mask  wipes  disposablemask  maskcleaning  corona  protection  epap  healthprotection  covid    mask  handgloves  handsanitizer  Disposable  surgicalmask  tag aiponsite    amp linkCode ic  amp ascsubtag amzn  infl us product amp creativeASIN B  MG FJ H amp ref exp buyerxpo dp vv d,0
8,2020-04-08 18:26:31+00:00,he Jewel Of The Day  corona  Coronavirus  COVID    WednesdayThoughts  chosan thejeweloftheday alltime   motivation  happy  life  inspiration  quotes  positivevibes  happiness  fitness  success  instagood  art  like  smile  quoteoftheday  photooftheday  follow  beautiful,1
9,2020-04-08 18:24:04+00:00,Pay us to do your assignments  We are writers  Maths  Accounting  Nursing  Medicine amp Health  homework  assignment  discussion  research paper  Pay essay due  psychology  assignment  thesis  Statistics  geology  astronomy  chemistry  Corona discounts  college DM me,-1
10,2020-04-08 18:14:53+00:00,Stay Optimistic        coronapocalypse  corona  singer  songwriter  healer  healing  optimistic  soulsinger  encourageyourself  gospel  stayhome  thistooshallpass  aquarius  quarantine  nyc  Hill      usBihD CC  igshid aqj qcgvzxda,1
11,2020-04-08 18:02:15+00:00,ANYBODY KNOW MORSE CODE     We gotta get down to the bottom of this          podcast  podcastlife  talkshow  sleep  wakeup  birds  noise  morsecode  help  covid  corona  quarantine  youtube  spotify  applepodcasts  subscribe  follow  staysafe  washyourhand,1
12,2020-04-08 17:59:49+00:00, socialdistancing  corona  love  community  communityovercorona  berniesanders  covoid    uqFNeBOuv  igshid   l wlhkht   ,1
13,2020-04-08 17:48:04+00:00,Very excited we     are partnering with        on this  mentalhealth    Corona project  ,1
14,2020-04-08 17:46:33+00:00, Biden vs   Trump coming this Fall  I am gonna wait and see who  Corona endorses ,1
15,2020-04-08 17:41:44+00:00,My college roommate is a super hardworking lawyer in D C     who  after work     makes HUNDREDS of masks for essential workers  This is what generosity looks like ANY day of the week  but there   s an added layer of love and sacrifice in the era of  Corona   LoveThyNeighbor,1
16,2020-04-08 17:40:09+00:00,  Businesses across the world have shifted to remote work  and many say that this way of working is here to stay  Others are saying that we will shift back to what it was before corona  What do you think   remotework  workfromhome  corona   ,0
17,2020-04-08 17:32:16+00:00, WOW  COVID       coronavirus  ChineseWuhanVirus  Corona ,1
18,2020-04-08 17:27:52+00:00,How come a natural Exosomes that exists in each living human being at different levels is labeled as  COVID         coronavirus  Corona,1
19,2020-04-08 17:27:38+00:00,GER  EK M   BU    CORONA,0
20,2020-04-08 17:27:14+00:00,I am photographer so I   m using my camera to document what   s going on here in New York at this time  covid     corona  nycstreetphotography  worldstreetphotography  nycstreetphotographer  nycstreetshots  nycphotographer  streetphotography  nycphotographers  newyork  newyorkcity,0
21,2020-04-08 17:20:53+00:00,his is dead ass what I   m trying to tell my grandkids but my job keep playing   Shmood  corona  ps   myguys  weed  whiskey   Georgia  umHqNlOCARg RhKalHRjkNtXnecMHfybCWRg   igshid pzf ln  rygj,-1
22,2020-04-08 17:07:27+00:00,CORONAVIRUS OUT NOW  LINK IN BIO  coronachallenge for you all  Make your own  corona  challenge while you  stayhome  amp   staysafe or if you re outside or doing  quarantineandchill   stay with  safehands  AND     ukfQ lRUe  igshid  av hzrb ddp,-1
